obpm_bpm,4_seas_past_obpm_playoffs,5_seas_past_obpm_playoffs,5_euc_clones_obpm,3_euc_clones_obpm,vorp_regseas,5_cos_clones_obpm,4_euc_clones_obpm,pie_adv,2_euc_clones_obpm,4_cos_clones_obpm,1_pear_clones_obpm,5_pear_clones_obpm,3_seas_past_obpm_playoffs,3_yr_rolling_avg_obpm_playoffs,4_pear_clones_obpm,3_cos_clones_obpm,pass%_drives,fg%_drives,1_euc_clones_obpm,1_seas_past_obpm_playoffs,2_yr_rolling_avg_obpm_playoffs,painttouch pts_shooting_eff,3_pear_clones_obpm,1_cos_clones_obpm,pts%_drives,+/-_trad,avg speed off_speed,3pa_trad,tov%_drives,pull upfg%_shooting_eff,ft%_drives,3pm_trad,fgm_trad,tov_trad,3p%_catch&shoot,mr_fg%_shootingzone,2_pear_clones_obpm,oreb_oreb,ftm_trad,2_cos_clones_obpm,poss_adv,fgm%ast_scoring,to ratio_adv,fga_trad,ftm_drives,3fgm%ast_scoring,ast/to_adv,fg%_pullup,pf%_drives,season,obpm_playoffs,2_yr_roll_obpm_bpm,2_yr_roll_pie_adv,2_yr_roll_vorp_regseas,3_yr_roll_obpm_bpm,3_yr_roll_pie_adv,3_yr_roll_vorp_regseas,4_yr_roll_obpm_bpm,4_yr_roll_pie_adv,4_yr_roll_vorp_regseas,5_yr_roll_obpm_bpm,5_yr_roll_pie_adv,5_yr_roll_vorp_regseas,player
2.2,2.2,2.2,2.34,1.9,3.9,-1.4800000000000002,2.45,13.7,1.4,-0.7500000000000002,-0.4,-1.38,2.2,2.1,-1.0750000000000002,-1.9333333333333336,35.2,53.5,2.1,2.1,2.1,5.0,0.0333333333333333,-2.8,56.3,4.2,4.42,4.7,5.7,33.3,75.0,1.6,9.7,2.0,35.1,44.4,-1.6,1.8,1.9,-2.7,5464,81.3,7.3,19.2,0.2,100.0,2.46,34.5,6.8,2016,0.9,2.6,14.5,3.6,2.6,14.5,3.6,2.6,14.5,3.6,2.6,14.5,3.6,Al Horford
2.3,1.9,1.9,0.82,1.2333333333333332,3.0,-4.0,0.85,12.5,1.4,-5.15,-2.7,-4.0,1.9,1.5,-5.15,-4.866666666666667,32.0,54.9,0.9,0.9,1.5,2.9,-4.866666666666667,-2.7,59.1,4.8,4.2,5.4,6.1,30.0,68.8,1.9,8.5,2.6,35.0,43.8,-4.95,1.4,2.4,-4.95,4464,67.8,8.8,17.9,0.2,97.7,2.93,30.4,4.4,2017,4.4,2.4000000000000004,14.1,3.75,2.4000000000000004,14.1,3.75,2.4000000000000004,14.1,3.75,2.4000000000000004,14.1,3.75,Al Horford
2.4,2.25,2.25,1.3800000000000003,2.066666666666667,3.7,-2.4200000000000004,1.7750000000000004,13.4,3.1500000000000004,-2.325,-0.1,-0.64,2.1,2.466666666666667,0.0,-2.0,32.0,54.5,4.4,4.4,2.6500000000000004,2.6,-1.4666666666666668,-0.1,52.7,7.5,4.3,4.9,3.0,36.7,83.3,2.1,8.0,2.9,42.1,42.2,-1.4,1.4,2.0,-1.4,4617,67.1,10.3,16.3,0.1,94.8,2.57,37.0,3.0,2018,2.1,2.25,13.1,3.45,2.3666666666666667,13.566666666666668,3.5,2.3666666666666667,13.566666666666668,3.5,2.3666666666666667,13.566666666666668,3.5,Al Horford
3.3,2.1,3.233333333333333,2.28,2.466666666666667,3.6,0.6199999999999999,2.325,13.4,2.6500000000000004,0.6,-0.1,0.52,0.9,2.466666666666667,0.925,0.8333333333333334,38.2,56.0,0.9,2.1,3.25,4.1,1.2333333333333334,4.2,65.5,6.2,4.35,4.9,8.2,45.8,88.2,1.8,9.3,2.5,36.0,54.7,-0.25,1.8,1.9,1.55,4146,79.8,8.9,17.4,0.2,100.0,2.77,45.8,6.4,2019,1.5,2.3499999999999996,12.95,3.35,2.3000000000000003,13.200000000000001,3.5333333333333337,2.375,13.525,3.55,2.375,13.525,3.55,Al Horford
1.3,0.9,2.1,1.8400000000000003,2.6666666666666665,2.2,1.02,2.225,11.2,2.95,1.425,4.2,0.7400000000000001,4.4,2.6666666666666665,1.0750000000000002,1.8333333333333333,40.4,46.5,4.4,1.5,1.8,2.7,1.366666666666667,4.2,50.0,3.0,4.24,6.7,5.3,49.2,70.0,2.3,7.5,1.9,35.1,44.6,2.0500000000000003,1.5,1.4,2.0500000000000003,4241,72.7,7.3,16.7,0.1,98.0,3.38,47.5,5.3,2020,-1.8,2.8499999999999996,13.4,3.6500000000000004,2.6666666666666665,13.1,3.4333333333333336,2.55,13.25,3.5500000000000003,2.56,13.5,3.56,Al Horford
1.4,2.1,4.4,1.9200000000000004,1.6,3.2,-2.98,1.3,12.3,0.15,-2.0,1.1,0.7200000000000002,1.5,0.6,1.3750000000000002,-1.9666666666666668,44.6,62.5,-1.8,1.14,-0.15,3.1,1.6000000000000003,-2.6,69.9,9.4,4.24,6.5,3.6,52.4,89.5,2.2,6.5,1.6,32.8,38.3,3.7,1.6,2.0,-1.65,4096,77.8,7.2,13.9,0.3,97.8,3.57,52.4,10.8,2022,2.2,2.3,12.3,2.9000000000000004,2.333333333333333,12.666666666666666,3.1666666666666665,2.3249999999999997,12.625,3.125,2.3,12.84,3.2800000000000002,Al Horford
1.6,1.5,2.1,0.6,0.1999999999999999,2.5,0.8200000000000001,0.65,9.5,-0.2,1.475,-2.6,2.72,-1.8,0.6333333333333334,1.825,0.5666666666666668,55.3,60.0,-0.9,2.2,0.2,1.5,2.4,-2.6,45.9,7.7,4.2,8.1,2.4,40.0,50.0,3.6,5.7,0.9,44.8,20.0,0.8,1.2,0.4,-1.25,3991,87.7,5.2,12.0,0.0,99.3,5.11,40.0,3.5,2023,-0.4,1.35,11.75,2.7,2.0,12.300000000000002,3.0,2.1,12.575,3.1750000000000003,2.1399999999999997,12.559999999999999,3.14,Al Horford
2.2,2.2,2.2,1.28,1.2333333333333334,3.0,-0.3999999999999999,1.55,17.0,0.5,0.075,-1.5,0.1,2.2,2.2,0.075,0.3333333333333333,20.5,38.5,0.4,2.2,2.2,6.8,0.3333333333333333,0.7,56.4,0.6,3.92,0.3,5.1,39.8,100.0,0.1,14.1,2.5,7.7,38.1,-0.4,2.2,3.8,1.25,4971,61.3,7.0,27.7,0.0,100.0,1.25,40.8,2.6,2014,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Jefferson
-0.9,-0.9,-0.9,0.76,-0.5333333333333332,0.4,0.8400000000000001,0.8500000000000001,12.4,-2.05,1.0,-3.0,-0.74,-0.9,2.2,0.5,0.5,0.0,0.0,-1.4,-0.9,2.2,4.1,0.4333333333333333,2.5,0.0,2.1,4.14,0.0,0.0,35.7,0.0,0.0,11.1,1.5,0.0,43.9,-0.6,1.2,3.2,1.5,2217,55.5,5.2,22.8,0.0,0.0,2.06,36.6,0.0,2016,2.7,2.2,17.0,3.0,2.2,17.0,3.0,2.2,17.0,3.0,2.2,17.0,3.0,Al Jefferson
-0.7,-0.7,-0.7,-0.68,-1.1333333333333335,1.0,4.040000000000001,-0.8750000000000001,9.1,-1.05,3.45,-4.8,1.14,-0.7,-0.7,0.575,2.8666666666666667,35.2,39.5,0.9,-0.7,-0.7,1.6,0.1333333333333333,4.3,49.2,3.8,4.91,4.5,11.5,36.4,76.7,1.2,5.3,2.0,28.0,22.2,-0.25,1.7,3.0,2.6,2784,74.8,10.5,12.8,0.3,100.0,1.07,38.1,12.3,2015,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al-Farouq Aminu
