5_euc_clones_dbpm,5_cos_clones_dbpm,3_euc_clones_dbpm,2_pear_clones_dbpm,1_euc_clones_dbpm,4_cos_clones_dbpm,def_arch,4_euc_clones_dbpm,5_pear_clones_dbpm,opp ptspaint_def,3_cos_clones_dbpm,stl%_def,5_seas_past_dbpm_playoffs,avg drebdistance_reb,opp ptsoff tov_def,3_pear_clones_dbpm,2_euc_clones_dbpm,defws_def,4_seas_past_dbpm_playoffs,1_seas_past_dbpm_playoffs,contesteddreb_reb,2_cos_clones_dbpm,dreb_def,pf_misc,bpm_regseas,6_yr_rolling_avg_dbpm_playoffs,dbpm_bpm,pie_defadv,Unnamed: 0,def rtg_def,gp,%dreb_def,drebchances_reb,drebchance%_reb,4_yr_rolling_avg_dbpm_playoffs,stl_def,dfg%_imp,dist. miles def_speed,poss_defadv,blka_misc,2_seas_past_dbpm_playoffs,4_pear_clones_dbpm,3_yr_rolling_avg_dbpm_playoffs,dreb_reb,dreb%_def,5_yr_rolling_avg_dbpm_playoffs,blk_def,dfga_imp,contesteddreb%_reb,opp ptsfb_def,%blk_def,1_pear_clones_dbpm,1_cos_clones_dbpm,3_seas_past_dbpm_playoffs,min,dfgm_imp,adjusteddreb chance%_reb,opp pts2nd chance_def,2_yr_rolling_avg_dbpm_playoffs,vorp_regseas,player,season,dbpm_playoffs
1.08,-0.6200000000000001,1.7,-2.75,1.6,-1.35,7,1.075,-1.1,40.0,-1.9666666666666668,14.4,1.6,6.0,15.1,-1.9666666666666668,1.5,0.231,1.6,1.6,1.8,-2.75,8.2,3.0,3.8,1.6,1.6,13.7,10,98.7,82,24.1,10.5,51.8,1.6,1.2,55.3,1.04,5464,0.6,1.6,-1.35,1.6,5.5,15.8,1.6,2.2,5.3,32.4,11.4,38.3,-0.7,-0.7,1.6,32.1,3.0,56.7,13.0,1.6,3.9,Al Horford,2016,2.8
1.3199999999999998,0.14,0.6333333333333334,0.45,1.6,-0.1999999999999999,3,1.175,-0.2999999999999999,44.3,0.3,15.2,1.2000000000000002,6.3,15.5,0.3,1.35,0.142,1.2000000000000002,2.8,1.8,0.8,8.3,3.1,3.4,2.2,1.1,12.5,11,107.2,68,24.4,9.9,54.7,2.2,1.2,58.3,1.02,4464,0.6,1.6,-0.1999999999999999,2.2,5.4,16.2,2.2,1.9,4.9,32.4,12.7,44.1,-0.7,1.6,1.2000000000000002,32.3,2.9,58.9,14.4,2.2,3.0,Al Horford,2017,1.5
1.2799999999999998,-1.06,1.9,0.5,2.8,-1.45,7,1.825,-0.74,43.7,-0.9333333333333332,12.8,1.8,5.9,15.6,-0.9333333333333332,2.15,0.222,1.8,1.5,1.6,0.5,9.3,3.0,4.4,1.9666666666666668,2.0,13.4,12,101.6,69,25.2,9.5,62.5,1.9666666666666668,0.9,57.9,0.99,4617,0.6,2.8,-0.1749999999999999,1.9666666666666668,5.9,17.8,1.9666666666666668,1.7,4.7,26.2,10.6,35.9,-0.6,-0.6,1.6,31.5,2.7,66.4,11.2,2.15,3.7,Al Horford,2018,2.3
1.86,-0.74,1.9666666666666668,-1.2,1.5,-1.025,3,2.05,-0.74,45.5,-0.7999999999999999,17.3,2.0666666666666664,5.8,13.5,-1.3666666666666665,1.55,0.171,1.6,2.3,1.6,-1.2,8.2,3.0,5.1,2.05,1.9,13.4,13,106.4,68,23.6,8.9,55.7,2.05,1.4,59.7,0.96,4146,0.7,1.5,-1.025,2.2,5.0,16.1,2.05,2.1,5.5,32.8,13.0,38.7,-0.7,-0.7,2.8,29.0,3.3,61.2,14.0,1.9,3.6,Al Horford,2019,1.3
0.74,1.46,1.4666666666666666,0.7,1.8,1.375,3,1.075,1.46,48.5,1.4666666666666668,15.5,1.6,6.2,15.9,1.4666666666666668,2.05,0.17,2.8,1.3,1.3,0.7,8.3,3.3,2.2,1.9,1.0,11.2,14,106.8,67,23.5,7.9,66.4,1.975,1.2,62.5,0.94,4241,0.6,2.3,1.375,1.7,5.3,17.1,1.9,1.4,5.4,24.4,13.3,29.8,0.5,0.5,1.5,30.2,3.4,71.6,11.1,1.7999999999999998,2.2,Al Horford,2020,0.4
2.96,-2.28,3.0666666666666664,-1.75,2.3,-1.9,7,3.1,-2.28,40.1,-2.1666666666666665,17.0,1.5,5.7,13.7,-1.5333333333333332,2.7,0.243,2.3,2.8,2.0,-1.75,10.3,3.2,4.3,1.65,2.9,12.3,15,103.4,68,28.5,9.1,68.2,1.375,1.2,56.1,0.93,4096,0.3,0.4,-1.9,1.3333333333333333,6.2,20.1,1.6599999999999997,2.2,4.3,32.4,10.8,39.3,-0.6,-0.6,1.3,29.0,2.4,73.7,11.5,0.8500000000000001,3.2,Al Horford,2022,3.8
1.44,-0.4,1.4666666666666666,-0.4,0.4,-0.325,3,1.4249999999999998,-0.4,49.4,-0.6333333333333334,12.0,2.3,5.6,15.0,-0.5,1.35,0.166,1.3,3.8,1.4,-0.4,7.9,3.0,3.3,2.016666666666666,1.7,9.5,16,111.1,63,22.0,8.1,61.9,1.95,0.8,59.1,1.0,3991,0.2,1.9333333333333331,-0.775,1.8333333333333333,5.0,15.9,1.86,1.5,4.7,28.1,12.1,28.6,0.5,-1.3,0.4,30.5,2.8,69.1,12.0,2.1,2.5,Al Horford,2023,3.2
0.1599999999999999,-0.2799999999999999,0.4333333333333333,-0.05,-0.7,-0.475,7,0.3,-0.74,41.8,-1.0,21.8,0.5,4.2,14.0,-1.0,-0.0999999999999999,0.174,0.5,0.5,2.8,-0.95,12.8,3.5,2.7,0.5,0.5,17.0,17,103.1,72,35.7,13.8,62.9,0.5,1.3,62.9,1.04,4971,1.5,0.5,-0.625,0.5,8.7,24.7,0.5,1.6,4.9,32.6,10.6,34.1,1.0,1.0,0.5,35.0,3.1,68.5,12.8,0.5,3.0,Al Jefferson,2014,0.1
-0.1999999999999999,-0.36,0.1333333333333334,-1.25,0.6,-0.2249999999999999,6,-0.2499999999999999,-0.38,43.2,-0.3999999999999999,16.6,0.4,4.0,12.6,-0.7666666666666666,0.55,0.205,0.4,0.4,1.3,-1.25,11.0,5.3,-0.5,0.1,0.4,12.4,18,100.7,47,30.2,8.3,62.9,0.1,1.4,65.6,0.72,2217,1.6,0.1,-0.6,0.1,5.2,21.6,0.1,1.8,2.6,25.4,12.0,30.6,-1.2,-1.2,0.4,23.3,1.7,70.1,11.7,0.1,0.4,Al Jefferson,2016,-0.2
3.0,-2.18,2.8666666666666667,-3.2,4.2,-2.0,6,2.8,-2.18,38.5,-2.5,26.8,1.5,5.6,15.9,-2.5,3.95,0.2,1.5,1.5,1.1,-1.35,8.2,4.9,0.7,1.5,1.5,9.1,19,100.3,74,25.1,5.6,59.2,1.5,2.5,56.7,0.66,2784,0.8,1.5,-2.0,1.5,3.3,16.1,1.5,2.2,1.7,33.3,14.6,40.3,-4.8,-1.6,1.5,18.5,1.0,67.3,14.0,1.5,1.0,Al-Farouq Aminu,2015,3.1
